iter	Passed	Remaining
0	90	45366
1	118	29602
2	143	23827
3	168	20854
4	194	19208
5	220	18188
6	246	17391
7	272	16728
8	297	16243
9	323	15858
10	349	15537
11	375	15276
12	398	14933
13	422	14683
14	448	14497
15	471	14261
16	494	14037
17	516	13827
18	538	13638
19	561	13484
20	586	13368
21	608	13221
22	635	13177
23	661	13115
24	686	13038
25	711	12970
26	736	12900
27	761	12845
28	788	12801
29	812	12734
30	835	12642
31	858	12555
32	881	12475
33	904	12394
34	927	12317
35	950	12251
36	973	12184
37	996	12111
38	1018	12036
39	1041	11972
40	1068	11956
41	1095	11946
42	1121	11915
43	1147	11892
44	1171	11849
45	1194	11790
46	1217	11734
47	1240	11681
48	1263	11628
49	1285	11572
50	1313	11563
51	1346	11599
52	1374	11590
53	1397	11539
54	1423	11518
55	1450	11499
56	1475	11470
57	1499	11423
58	1522	11380
59	1545	11336
60	1569	11298
61	1597	11288
62	1623	11260
63	1649	11237
64	1676	11219
65	1702	11193
66	1726	11158
67	1749	11115
68	1772	11073
69	1796	11034
70	1818	10989
71	1847	10982
72	1873	10957
73	1898	10929
74	1921	10887
75	1944	10848
76	1966	10804
77	1989	10761
78	2017	10750
79	2044	10732
80	2070	10707
81	2093	10670
82	2118	10645
83	2141	10607
84	2166	10576
85	2192	10556
86	2217	10527
87	2243	10504
88	2269	10482
89	2296	10463
90	2322	10439
91	2347	10408
92	2369	10369
93	2391	10330
94	2415	10296
95	2439	10264
96	2464	10237
97	2487	10204
98	2510	10170
99	2536	10146
100	2563	10125
101	2588	10101
102	2612	10068
103	2637	10041
104	2662	10016
105	2688	9992
106	2713	9968
107	2738	9940
108	2761	9905
109	2784	9871
110	2809	9845
111	2835	9824
112	2861	9799
113	2885	9769
114	2910	9743
115	2938	9726
116	2964	9704
117	2987	9671
118	3010	9637
119	3032	9604
120	3058	9578
121	3085	9561
122	3112	9539
123	3138	9517
124	3162	9488
125	3187	9462
126	3210	9429
127	3235	9402
128	3261	9380
129	3287	9356
130	3310	9326
131	3337	9305
132	3365	9287
133	3393	9268
134	3417	9241
135	3440	9209
136	3463	9177
137	3486	9146
138	3510	9116
139	3533	9084
140	3560	9065
141	3587	9045
142	3614	9023
143	3641	9003
144	3669	8983
145	3695	8960
